,Dimension,TagSet,hasSynonym
203,Point>Command,Damper Command,
204,Point>Command,Discharge Air Flow Command,Supply Air Flow Command
205,Point>Command,Emergency Power Off Command,
206,Point>Command,Emergency Power Off Switch Command,
207,Point>Command,Enable Command,
208,Point>Command,Disable Command,
209,Point>Command,Frequency Command,
210,Point>Command,Heating Command,
211,Point>Command,Humidify Command,
212,Point>Command,Load Shed Command,
213,Point>Command,Luminance Command,
214,Point>Command,Occupancy Command,Occupied Command
215,Point>Command,Panel Lockout Command,
216,Point>Command>Pump Command,Pump Lead Lag Command,
217,Point>Command>Pump Command,Pump Lead On Off Command,
218,Point>Command,Start Stop Command,
219,Point>Command,Valve Command,
220,Point>Command,Emergency Air Flow Command,
221,Point>Command>Cooling Command,Highest Zone Cooling Command,
222,Point>Command>Damper Command,Economizer Damper Command,
223,Point>Command>Damper Command,Exhaust Bypass Damper Command,
224,Point>Command>Damper Command,Mixed Air Damper Position Command,
225,Point>Command>Damper Command,Outside Air Damper Position Command,
226,Point>Command>Direction Command,Motor Direction Command,
227,Point>Command>Direction Command,Run Direction Command,
228,Point>Command>Enable Command,VFD Enable Command,
229,Point>Command>Enable Command,System Enable Command,
230,Point>Command>Enable Command,Chilled Water System Enable Command,
231,Point>Command>Enable Command,Domestic Hot Water System Enable Command,
232,Point>Command>Enable Command,Exhaust Fan Enable Command,
233,Point>Command>Enable Command,Exhaust Fan System Enable Command,
234,Point>Command>Enable Command,Hot Water System Enable Command,
235,Point>Command>Enable Command,Run Enable Command,
236,Point>Command>Disable Command,Exhaust Fan Disable Command,
237,Point>Command>Fans Stage Command,Building Exhaust Fans Stage Command,
238,Point>Command>Fire Control Panel Command,Fire Control Panel Off Command,
239,Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel Off Command,
240,Point>Command>Fire Control Panel Command,Fire Control Panel On Command,
241,Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel On Command,
242,Point>Command>Frequency Command,Max Frequency Command,
243,Point>Command>Load Shed Command,Standby Load Shed Command,
244,Point>Command>Load Shed Command,Unoccupied Load Shed Command,
245,Point>Command>Load Shed Command>Standby Load Shed Command,Zone Standby Load Shed Command,
246,Point>Command>Load Shed Command>Unoccupied Load Shed Command,Zone Unoccupied Load Shed Command,
247,Point>Command>Mode Command,Automatic Mode Command,
248,Point>Command>Mode Command,Maintenance Mode Command,
249,Point>Command>Mode Command,Box Mode Command,
250,Point>Command>On Off Command,Steam On Off Command,
251,Point>Command>Pump Command,Chilled Water Pump Lead Lag Command,
252,Point>Command>Pump Command,Hot Water Pump Lead Lag Command,
253,Point>Command>Request Command,Run Request Command,
254,Point>Command>Reset Command,Fault Reset Command,
255,Point>Command>Reset Command,Filter Reset Command,
256,Point>Command>Reset Command,Speed Reset Command,
257,Point>Command>Shutdown Command,Shutdown Hot Water When Unoccupied Command,
258,Point>Status,System Status,
259,Point>Status,VFD Status,
260,Point>Command>Shutdown Command,System Shutdown Command,
261,Point>Command,VFD Speed Command,
262,Point>Command>VFD Speed Command,Chilled Water Pump VFD Speed Command,
263,Point>Command>VFD Speed Command,Hot Water Pump VFD Speed Command,
264,Point>Status>VFD Speed Status,Return Fan VFD Speed Status,
265,Point>Status>VFD Speed Status,Supply Fan VFD Speed Status,Discharge Fan VFD Speed Status
266,Point>Setpoint>VFD Speed Setpoint,Return Fan VFD Speed Setpoint,
267,Point>Setpoint>VFD Speed Setpoint,Supply Fan VFD Speed Setpoint,Discharge Fan VFD Speed Setpoint
268,Point>Command>VFD Speed Command,Exhaust Fan VFD Speed Command,
269,Point>Command>VFD Speed Command,Return Fan VFD Speed Command,
270,Point>Command>VFD Speed Command,Supply Fan VFD Speed Command,Discharge Fan VFD Speed Command
271,Point>Sensor>VFD Speed Sensor,Return Fan VFD Speed Sensor,
272,Point>Sensor>VFD Speed Sensor,Supply Fan VFD Speed Sensor,Discharge Fan VFD Speed Sensor
273,Point>Command>Reset Command,Fan Speed Reset Command,
274,Point>Command>Booster Command,Booster Fan Command,
275,Point>Command>Start Stop Command,Booster Fan Start Stop Command,
276,Point>Command>Pump Command,Chilled Water Pump Command,
277,Point>Command>Start Stop Command,Chilled Water Pump Start Stop Command,
278,Point>Command>Start Stop Command,Pump Start Stop Command,
279,Point>Command>Start Stop Command,Domestic Hot Water System Start Stop Command,
280,Point>Command>Fan Command,Exhaust Fan Command,
281,Point>Command>Start Stop Command,Exhaust Fan Start Stop Command,
282,Point>Command>Start Stop Command,Hot Water Pump Start Stop Command,
283,Point>Command>Start Stop Command,Motor Start Stop Command,
284,Point>Command>Start Stop Command,Pump Start Stop Command,
285,Point>Command>Fan Command,Return Fan Command,
286,Point>Command>Start Stop Command,Return Fan Start Stop Command,
287,Point>Command>Fan Command,Supply Fan Command,Discharge Fan Command
288,Point>Command>Start Stop Command,Supply Fan Start Stop Command,Discharge Fan Start Stop Command
289,Point>Command>Start Stop Command,Heat Exchanger Start Stop Command,
290,Point>Command>Valve Command,Chilled Water Bypass Valve Command,
291,Point>Command>Valve Command,Cooling Valve Command,
292,Point>Command>Valve Command,Hot Water Valve Command,
293,Point>Command>Valve Command,Domestic Hot Water Valve Command,
294,Point>Command>Valve Command,Heat Exchanger Valve Command,
295,Point>Command>Valve Command,Heating Valve Command,
296,Point>Command>Valve Command,Perimeter Heating Valve Command,
297,Point>Command>Valve Command,Reheat Valve Command,
298,Point>Command>Valve Command,PreHeat Valve Command,
299,Point>Command>Valve Command,Return Air Preheat Valve Command,
300,Point>Command>Valve Command,Return Heat Valve Command,
301,Point>Meter,Power Meter,
302,Point>Meter,Gas Meter,
303,Point>Meter,Water Meter,
304,Point>Meter>Energy Meter,Peak Energy Today Meter,
305,Point>Meter>Flow Meter,Hot Water Flow Meter,
306,Point>Meter>Power Meter,Electrical Power Meter,
307,Point>Meter>Power Meter,Motor Power Meter,
308,Point>Meter>Power Meter,Thermal Power Meter,
309,Point>Meter>Power Meter>Thermal Power Meter,Cooling Thermal Power Meter,
310,Point>Meter>Power Meter>Thermal Power Meter,Heating Thermal Power Meter,
311,Point>Meter>Steam Usage Meter,Current Steam Usage Meter,
312,Point>Meter>Steam Usage Meter,Monthly Steam Usage Meter,
313,Point>Meter>Steam Usage Meter,Steam Usage Today Meter,
314,Point>Meter>Steam Usage Meter,Yearly Steam Usage Meter,
315,Point>Meter>Water Meter,Chilled Water Meter,
316,Point>Meter>Water Meter,Hot Water Meter,
317,Point>Sensor,Average Cooling Demand Sensor,
318,Point>Sensor,CO2 Differential Sensor,
319,Point>Sensor,CO2 Level Sensor,
320,Point>Sensor,CO2 Sensor,
321,Point>Sensor,Damper Position Sensor,
322,Point>Sensor,Energy Sensor,
323,Point>Sensor,Flow Sensor,
324,Point>Sensor,Frost Sensor,
325,Point>Sensor,Hail Sensor,
326,Point>Sensor,Humidity Sensor,
327,Point>Sensor,Outside Luminance Sensor,
328,Point>Setpoint,CO2 Setpoint,
329,Point>Setpoint,Luminance Setpoint,
330,Point>Sensor,Luminance Sensor,
331,Point>Sensor,Occupancy Sensor,
332,Point>Sensor,Pressure Sensor,
333,Point>Sensor,Rain Duration Sensor,
334,Point>Sensor,Rain Sensor,
335,Point>Sensor,Run Time Sensor,
336,Point>Sensor,Running Hour Sensor,
337,Point>Sensor,Solar Radiance Sensor,
338,Point>Sensor,Temperature Sensor,
339,Point>Sensor,Thermostat Adjust Sensor,
340,Point>Sensor,Trace Heat Sensor,
341,Point>Sensor,Warm Cool Adjust Sensor,
342,Point>Sensor,Current Sensor,
343,Point>Sensor>Air Grains Sensor,Outside Air Grains Sensor,
344,Point>Sensor>Air Grains Sensor,Return Air Grains Sensor,
345,Point>Sensor>Angle Sensor,Solar Azimuth Angle Sensor,
346,Point>Sensor>Angle Sensor,Solar Zenith Angle Sensor,
347,Point>Sensor>CO2 Sensor,Outside Air CO2 Sensor,
348,Point>Sensor>CO2 Sensor,Return Air CO2 Sensor,
349,Point>Sensor>Conductivity Sensor,Deionised Water Conductivity Sensor,
350,Point>Sensor>Current Sensor,Load Current Sensor,
351,Point>Sensor>Current Sensor,Motor Current Sensor,
352,Point>Sensor>Current Sensor,Photovoltaic Current Output Sensor,PV Current Output Sensor
353,Point>Sensor>Damper Position Sensor,Bypass Damper Position Sensor,
354,Point>Sensor>Damper Position Sensor,Fume Hood Sash Position Sensor,
355,Point>Sensor>Damper Position Sensor,Mixed Air Damper Position Sensor,
356,Point>Sensor>Damper Position Sensor,Outside Air Damper Position Sensor,
357,Point>Sensor>Demand Sensor,Peak Power Demand Sensor,
358,Point>Sensor>Dewpoint Sensor,Outside Air Dewpoint Sensor,
359,Point>Sensor>Dewpoint Sensor,Return Air Dewpoint Sensor,
360,Point>Sensor>Direction Sensor,Wind Direction Sensor,
361,Point>Sensor>Enthalpy Sensor,Outside Air Enthalpy Sensor,
362,Point>Sensor>Enthalpy Sensor,Outside Enthalpy Sensor,
363,Point>Sensor>Enthalpy Sensor,Return Air Enthalpy Sensor,
364,Point>Sensor>Flow Sensor>Air Flow Sensor,Bypass Air Flow Sensor,
365,Point>Sensor>Flow Sensor>Air Flow Sensor,Discharge Air Flow Sensor,Supply Air Flow Sensor
366,Point>Sensor>Flow Sensor>Air Flow Sensor,Exhaust Air Flow Sensor,
367,Point>Sensor>Flow Sensor>Air Flow Sensor,Fan Air Flow Sensor,
368,Point>Sensor>Flow Sensor>Air Flow Sensor,Fume Hood Air Flow Sensor,
369,Point>Sensor>Flow Sensor>Air Flow Sensor,Outside Air Flow Sensor,
370,Point>Sensor>Flow Sensor>Air Flow Sensor,Return Air Flow Sensor,
371,Point>Sensor>Flow Sensor>Air Flow Sensor>Discharge Air Flow Sensor,Average Discharge Air Flow Sensor,Average Supply Air Flow Sensor
372,Point>Sensor>Flow Sensor>Air Flow Sensor>Exhaust Air Flow Sensor,Exhaust Air Stack Flow Sensor,
373,Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Booster Fan Air Flow Sensor,
374,Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Return Fan Air Flow Sensor,
375,Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Supply Fan Air Flow Sensor,Discharge Fan Air Flow Sensor
376,Point>Sensor>Flow Sensor>Water Flow Sensor>Supply Water Flow Sensor,Chilled Water Supply Flow Sensor,Chilled Water Discharge Flow Sensor
377,Point>Sensor>Frequency Sensor,Output Frequency Sensor,
378,Point>Sensor>Humidity Sensor,Discharge Air Humidity Sensor,Supply Air Humidity Sensor
379,Point>Sensor>Humidity Sensor,Exhaust Air Humidity Sensor,
380,Point>Sensor>Humidity Sensor,Outside Air Humidity Sensor,
381,Point>Sensor>Humidity Sensor,Relative Humidity Sensor,
382,Point>Sensor>Humidity Sensor,Return Air Humidity Sensor,
383,Point>Sensor>Humidity Sensor,Zone Humidity Sensor,
384,Point>Sensor>Motion Sensor,PIR Sensor,
385,Point>Sensor>Piezoelectric Sensor,Exhaust Fan Piezoelectric Sensor,
386,Point>Sensor>Piezoelectric Sensor,Supply Fan Piezoelectric Sensor,Discharge Fan Piezoelectric Sensor
387,Point>Sensor>Pressure Sensor,Cooling Coil Valve Pressure Sensor,
388,Point>Sensor>Pressure Sensor,Differential Pressure Sensor,
389,Point>Sensor>Pressure Sensor,Static Pressure Sensor,
390,Point>Status>Pressure Status,Supply Air Duct Pressure Status,Discharge Air Duct Pressure Status
391,Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Chilled Water Differential Pressure Sensor,
392,Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Filter Differential Pressure Sensor,
393,Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Heat Wheel Differential Pressure Sensor,
394,Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Hot Water Differential Pressure Sensor,
395,Point>Sensor>Pressure Sensor>Differential Pressure Sensor>Hot Water Differential Pressure Sensor,Medium Temperature Hot Water Differential Pressure Sensor,
396,Point>Sensor>Pressure Sensor>Static Pressure Sensor,Building Static Pressure Sensor,
397,Point>Sensor>Pressure Sensor>Static Pressure Sensor,Discharge Air Static Pressure Sensor,Supply Air Static Pressure Sensor
398,Point>Sensor>Pressure Sensor>Static Pressure Sensor,Exhaust Air Static Pressure Sensor,
399,Point>Sensor>Pressure Sensor>Static Pressure Sensor>Exhaust Air Static Pressure Sensor,Average Exhaust Air Static Pressure Sensor,
400,Point>Sensor>Pressure Sensor>Static Pressure Sensor>Exhaust Air Static Pressure Sensor,Lowest Exhaust Air Static Pressure Sensor,
401,Point>Sensor>Pressure Sensor>Valve Pressure Sensor,Chilled Valve Pressure Sensor,
402,Point>Sensor>Pressure Sensor>Velocity Pressure Sensor,Discharge Air Velocity Pressure Sensor,Supply Air Velocity Pressure Sensor
403,Point>Sensor>Pressure Sensor>Velocity Pressure Sensor,Exhaust Air Velocity Pressure Sensor,
404,Point>Sensor>Speed Sensor,Motor Speed Sensor,
405,Point>Sensor>Speed Sensor,Wind Speed Sensor,
406,Point>Sensor>Speed Sensor>Differential Speed Sensor,Heat Wheel Speed Sensor,
